0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,578914.03,2.4173439950508744
1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,529007.65,1.169146930008619
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,1397378.74,3.6688067130256377
1.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0,808483.41,2.9051851175449133
1.0,0.0,0.0,0.0,0.0,0.0,1.0,175.0,798502.15,2.1468072429308585
1.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,359325.95,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,369307.22,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,349344.66,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,998127.67,5.308314709341332
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,314410.19,2.598226909215529
1.0,0.0,0.0,0.0,0.0,0.0,1.0,240.0,1597004.3,4.2187798478711045
1.0,0.0,0.0,0.0,0.0,0.0,1.0,204.0,1097940.43,5.308314709341332
1.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,299438.28,11.588504347122496
1.0,0.0,0.0,0.0,0.0,0.0,1.0,149.0,1096942.3,1.3599468223658913
1.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,439176.16,1.2338726083723477
1.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,474110.62,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,1447285.12,3.8438568588297892
1.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,743605.12,7.740410556123322
1.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0,758577.03,7.840871196990678
1.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0,1048034.05,7.840871196990678
1.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,439176.16,1.6139434915132538
1.0,0.0,0.0,0.0,0.0,0.0,1.0,135.0,848408.53,1.3770197128877009
